2020-03-31 22:32:44.508944- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'DR Congo'), kwargs: {}, result: https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
2020-03-31 22:32:45.596434- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Republic of the Congo'), kwargs: {}, result: https://en.wikipedia.org/wiki/Republic_of_the_Congo
2020-03-31 22:32:46.406289- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Cook Islands'), kwargs: {}, result: https://en.wikipedia.org/wiki/Cook_Islands
2020-03-31 22:32:47.435294- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Colombia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Colombia
2020-03-31 22:32:48.382955- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Comoros'), kwargs: {}, result: https://en.wikipedia.org/wiki/Comoros
2020-03-31 22:32:48.936645- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Cape Verde'), kwargs: {}, result: https://en.wikipedia.org/wiki/Cape_Verde
2020-03-31 22:32:49.874143- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Costa Rica'), kwargs: {}, result: https://en.wikipedia.org/wiki/Costa_Rica
2020-03-31 22:32:50.497887- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Cuba'), kwargs: {}, result: https://en.wikipedia.org/wiki/Cuba
2020-03-31 22:32:51.508909- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Curaçao'), kwargs: {}, result: https://en.wikipedia.org/wiki/Cura%C3%A7ao
2020-03-31 22:32:52.193268- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Christmas Island'), kwargs: {}, result: https://en.wikipedia.org/wiki/Christmas_Island
2020-03-31 22:32:52.818317- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Cayman Islands'), kwargs: {}, result: https://en.wikipedia.org/wiki/Cayman_Islands
2020-03-31 22:32:53.377893- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Cyprus'), kwargs: {}, result: https://en.wikipedia.org/wiki/Cyprus
2020-03-31 22:32:53.889176- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Czechia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Czech_Republic
2020-03-31 22:32:54.606831- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Germany'), kwargs: {}, result: https://en.wikipedia.org/wiki/Germany
2020-03-31 22:32:55.315783- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Djibouti'), kwargs: {}, result: https://en.wikipedia.org/wiki/Djibouti
2020-03-31 22:32:55.907155- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Dominica'), kwargs: {}, result: https://en.wikipedia.org/wiki/Dominica
2020-03-31 22:32:56.546167- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Denmark'), kwargs: {}, result: https://en.wikipedia.org/wiki/Denmark
2020-03-31 22:32:57.237147- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Dominican Republic'), kwargs: {}, result: https://en.wikipedia.org/wiki/Dominican_Republic
2020-03-31 22:32:57.773228- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Algeria'), kwargs: {}, result: https://en.wikipedia.org/wiki/Algeria
2020-03-31 22:32:58.998149- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Ecuador'), kwargs: {}, result: https://en.wikipedia.org/wiki/Ecuador
2020-03-31 22:33:00.580490- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Egypt'), kwargs: {}, result: https://en.wikipedia.org/wiki/Egypt
2020-03-31 22:33:01.294776- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Eritrea'), kwargs: {}, result: https://en.wikipedia.org/wiki/Eritrea
